"published_date",doi,title,authors,affiliations
"November 21st 2019, 00:00:00.000","10.1002/cpt.1681","The Patient‐Centered Future of Clinical Pharmacology","[""Mohamed H. Shahin"",""Susan Abdel‐Rahman"",""Dan Hartman"",""Julie A. Johnson"",""David Y. Mitchell"",""Kellie S. Reynolds"",""John A. Wagner"",""Kari M. Morrissey""]","[""Foresite Capital Concord Massachusetts USA"",""Department of Clinical Pharmacology Genentech Inc South San Francisco California USA"",""Global Health Division Bill &amp; Melinda Gates Foundation Seattle Washington USA"",""Department of Pharmacotherapy and Translational Research and Center for Pharmacogenomics and Precision Medicine College of Pharmacy University of Florida Gainesville Florida USA"",""Office of Clinical Pharmacology Office of Translational Sciences Center for Drug Evaluation and Research US Food and Drug Administration Silver Spring Maryland USA"",""Pfizer Global Research Groton Connecticut USA"",""Department of Pediatrics University of Missouri–Kansas City School of Medicine Kansas City Missouri USA"",""Nuventra Pharma Sciences Durham North Carolina USA""]"
"November 20th 2019, 00:00:00.000","10.1002/cpt.1676","From Molecule to Patient: A Biotech Perspective","[""Robert Langer"",""Ana Jaklenec"",""Giovanni Traverso"",""Daniel Hartman""]","[""Brigham and Women's Hospital Harvard Medical School Boston Massachusetts USA"",""Global Health Division Bill and Melinda Gates Foundation Seattle Washington USA"",""Department of Mechanical Engineering Massachusetts Institute of Technology Cambridge Massachusetts USA"",""Koch Institute for Integrative Cancer Research Massachusetts Institute of Technology Cambridge Massachusetts USA""]"
"November 10th 2019, 00:00:00.000","10.1002/ijgo.13028","Postpartum hemorrhage care bundles to improve adherence to guidelines: A WHO technical consultation","[""Fernando Althabe"",""Michelle NS. Therrien"",""Veronica Pingray"",""Jorge Hermida"",""Ahmet M. Gülmezoglu"",""Deborah Armbruster"",""Neelima Singh"",""Moytrayee Guha"",""Lorraine F. Garg"",""Joao P. Souza"",""Jeffrey M. Smith"",""Beverly Winikoff"",""Kusum Thapa"",""Emmanuelle Hébert"",""Jerker Liljestrand"",""Soo Downe"",""Ezequiel Garcia Elorrio"",""Sabaratnam Arulkumaran"",""Emmanuel K. Byaruhanga"",""David M. Lissauer"",""Monica Ogutu"",""Alexandre Dumont"",""Maria F. Escobar"",""Carlos Fuchtner"",""Pisake Lumbiganon"",""Thomas F. Burke"",""Suellen Miller""]","[""Department of Emergency Medicine Massachusetts General Hospital, and Division of Global Health and Human Rights Boston USA"",""FIGO Viador PintoBolivia"",""Department of Obstetrics and Gynecology Faculty of Medicine Khon Kaen University Khon Kaen Thailand"",""Department of Gynecology and Obstetrics Fundacion Valle del Lili Cali Colombia"",""UCSF Safe Motherhood Program and HERHealthEQ New York USA"",""Medical Laboratory Sciences Ministry of Health Kisumu Kenya"",""Maternal and Newborn Division USAID Global Health Bureau Washington USA"",""Division of Obstetrics &amp; Gynaecology St George’s University of London London UK"",""Gynuity New York USA"",""Universidade de São Paulo São Paulo Brazil"",""Research Institute for Sustainable Development CEPED Paris France"",""Jhpiego Baltimore USA"",""Safe Motherhood Program University of California San Francisco USA"",""Ministry of Health and Department of Obstetrics &amp; Gynecology Martyr’s Hospital Ibanda Uganda"",""Department of Mother and Child Welfare Indian Institute of Health and Family Welfare Hyderabad India"",""Maternal Child Survival Program and Maternal Health Jhpiego Washington USA"",""Institute of Metabolism and Systems Research University of Birmingham Birmingham UK"",""Department of Reproductive Health and Research WHO Geneva Switzerland"",""University Research Co LLC, Quality Performance Institute Chevy Chase USA"",""Department of Quality and Safety in Healthcare Institute for Clinical Effectiveness and Health Policy Buenos Aires Argentina"",""International Confederation of Midwives Montréal Canada"",""Massachusetts General Hospital and Division of Global Health and Human Rights. Boston USA"",""Bill and Melinda Gates Foundation Seattle USA"",""Research in Childbirth and Health Group University of Central Lancashire Preston UK"",""T.H. Chan School of Public Health, and HSPH Department of Global Health and Population Harvard BostonUSA"",""Department of Mother and Child Health Institute for Clinical Effectiveness and Health Policy Buenos Aires Argentina""]"
"November 5th 2019, 00:00:00.000","10.1111/nyas.14271","Antenatal multiple micronutrient supplementation: call to action for change in recommendation","[""Megan W. Bourassa"",""Saskia J.M. Osendarp"",""Seth Adu‐Afarwuah"",""Saima Ahmed"",""Clayton Ajello"",""Gilles Bergeron"",""Robert Black"",""Parul Christian"",""Simon Cousens"",""Saskia Pee"",""Kathryn G. Dewey"",""Shams El Arifeen"",""Reina Engle‐Stone"",""Alison Fleet"",""Alison D. Gernand"",""John Hoddinott"",""Rolf Klemm"",""Klaus Kraemer"",""Roland Kupka"",""Erin McLean"",""Sophie E. Moore"",""Lynnette M. Neufeld"",""Lars‐Åke Persson"",""Kathleen M. Rasmussen"",""Anuraj H. Shankar"",""Emily Smith"",""Christopher R. Sudfeld"",""Emorn Udomkesmalee"",""Stephen A. Vosti""]","[""UN World Food Programme Rome Italy"",""The Vitamin Angels Alliance, Inc. Santa Barbara California"",""Sight and Life Foundation Basel Switzerland"",""Johns Hopkins Bloomberg School of Public Health Baltimore Maryland"",""London School of Hygiene and Tropical Medicine London United Kingdom"",""UNICEF New York New York"",""Division of Human Nutrition and HealthWageningen University Wageningen the Netherlands"",""The Pennsylvania State University University Park Pennsylvania"",""Global Alliance for Improved Nutrition GAIN Geneva Switzerland"",""Institute of NutritionMahidol University Nakhon Pathom Thailand"",""Department of Women and Children's HealthKing's College London London United Kingdom"",""Summit Institute of Development Mataram Indonesia"",""Department of Agricultural and Resource EconomicsUniversity of California, Davis Davis California"",""International Centre for Diarrhoeal Disease Research Dhaka Bangladesh"",""Helen Keller International Baltimore Maryland"",""Friedman School of Nutrition Science and PolicyTufts University Boston Massachusetts"",""Bill &amp; Melinda Gates Foundation Seattle Washington"",""Department of Nutrition and Food ScienceUniversity of Ghana, Legon Accra Ghana"",""The New York Academy of Sciences New York New York"",""London School of Hygiene and Tropical Medicine Addis Ababa Ethiopia"",""Division of Nutritional SciencesCornell University Ithaca New York"",""Nuffield Department of MedicineCentre for Tropical Medicine and Global Health, University of Oxford Oxford United Kingdom"",""Micronutrient Forum Washington D.C."",""Departments of Global Health, and Exercise and Nutrition Sciences, Milken Institute School of Public HealthThe George Washington University Washington D.C."",""Department of Global Health and PopulationHarvard T.H. Chan School of Public Health Boston Massachusetts"",""UNICEF Copenhagen Denmark""]"
"November 1st 2019, 00:00:00.000","10.1002/cpt.1650","What's Past Is Prologue: Clinical Pharmacology at the Intersection of Science, Policy, and Patients","[""Issam Zineh"",""Dan Hartman""]","[""Integrated Development Global Health Bill and Melinda Gates Foundation Seattle Washington USA"",""Office of Clinical Pharmacology Office of Translational Sciences Center for Drug Evaluation and Research US Food and Drug Administration Silver Spring Maryland USA""]"
"October 29th 2019, 00:00:00.000","10.1111/agec.12533","Can improved agricultural technologies spur a green revolution in Africa? A multi‐country analysis of seed and fertilizer delivery systems","[""Joshua Ariga"",""Edward Mabaya"",""Michael Waithaka"",""Maria Wanzala‐Mlobela""]","[""Bill &amp; Melinda Gates Foundation"",""The African Seed Access Index"",""African Fertilizer and Agribusiness Partnership"",""African Development Bank""]"
"October 28th 2019, 00:00:00.000","10.1111/nyas.14235","Vaccine innovations for emerging infectious diseases—a symposium report","[""Jennifer Cable"",""Padmini Srikantiah"",""James E. Crowe"",""Bali Pulendran"",""Adrian Hill"",""Ann Ginsberg"",""Wayne Koff"",""Anuja Mathew"",""Tony Ng"",""Kathrin Jansen"",""Gregory Glenn"",""Sallie Permar"",""Ian Wilson"",""David B. Weiner"",""Drew Weissman"",""Rino Rappuoli""]","[""The Jenner InstituteUniversity of Oxford Oxford United Kingdom"",""Bill &amp; Melinda Gates Foundation Seattle Washington"",""Institute for Immunity, Transplantation and Infection; Department of Pathology; and Department of Microbiology &amp; ImmunologyStanford University Stanford California"",""Department of Integrative Structural and Computational BiologyThe Scripps Research Institute San Diego California"",""Department of Pathology, Microbiology, and ImmunologyVanderbilt University Medical Center; and Vanderbilt University Nashville Tennessee"",""Duke University Durham North Carolina"",""Department of Cell and Molecular BiologyThe University of Rhode Island Kingston Rhode Island"",""The Human Vaccines Project New York New York"",""GlaxoSmithKline Brentford United Kingdom"",""Pfizer New York New York"",""Novavax Rockville Maryland"",""Department of MedicineThe University of Pennsylvania, Perelman School of Medicine Philadelphia Pennsylvania"",""International AIDS Vaccine Initiative New York New York"",""Science Writer New York New York"",""Vaccine and Immunotherapy CenterThe Wistar Institute Philadelphia Pennsylvania"",""Department of Microbiology &amp; ImmunologyAlbert Einstein College of Medicine New York New York""]"
"October 8th 2019, 00:00:00.000","10.1111/irv.12667","Approaches to use the WHO respiratory syncytial virus surveillance platform to estimate disease burden","[""Richard Pebody"",""Jocelyn Moyes"",""Siddhivinayak Hirve"",""Harry Campbell"",""Sandra Jackson"",""Ann Moen"",""Harish Nair"",""Eric A. F. Simões"",""Peter G. Smith"",""Niteen Wairagkar"",""Wenqing Zhang""]","[""Global Influenza Program World Health Organization Geneva Switzerland"",""MRC Tropical Epidemiology Group London School of Hygiene and Tropical Medicine London UK"",""Center for Global Health Colorado School of Public Health Aurora CO USA"",""Center for Respiratory Diseases and Meningitis National Institute for Communicable Diseases Johannesburg South Africa"",""Usher Institute of Population Health Research and Informatics University of Edinburgh Edinburgh UK"",""Bill and Melinda Gates Foundation Seattle WA USA"",""Flu Surveillance Public Health England London UK""]"
"October 1st 2019, 00:00:00.000","10.1093/ofid/ofz360.2295","2617. Increased Nasopharyngeal Pneumococcal Density During Asymptomatic Respiratory Virus Infection Is Associated with Subsequent Development of Acute Respiratory Illness","[""Leigh M Howard"",""Yuwei Zhu"",""Marie Griffin"",""Kathryn Edwards"",""John V Williams"",""Ana Gil"",""Jorge E Vidal"",""Keith Klugman"",""Claudio Lanata"",""Carlos G Grijalva""]","[""Instituto de Investigacion Nutricional, Lima, Peru"",""Bill and Melinda Gates Foundation, Seattle, Washington"",""Vanderbilt University School of Medicine, Nashville, Tennessee"",""University of Pittsburgh, Pittsburgh, Pennsylvania"",""Vanderbilt University Medical Center, Nashville, Tennessee"",""Rollins School of Public Health Emory University, Atlanta, Georgia""]"
"September 4th 2019, 00:00:00.000","10.2217/fmb-2019-0196","Poliopolis: pushing boundaries of scientific innovations for disease eradication","[""Pierre Van Damme"",""Ilse De Coster"",""Ananda S Bandyopadhyay"",""Leen Suykens"",""Patrick Rudelsheim"",""Pieter Neels"",""M Steven Oberste"",""William C Weldon"",""Ralf Clemens"",""Hilde Revets""]","[""Vaccine Advice BVBA, Zoersel, Belgium"",""Bill &amp; Melinda Gates Foundation, Seattle, WA, USA"",""Biosafety coordinator University of Antwerp, Perseus BVBA, Belgium"",""Centers for Disease Control &amp; Prevention, Atlanta, GA, USA"",""Global Research in Infectious Diseases (GRID), Rio de Janeiro, Brazil"",""Centre for the Evaluation of Vaccination, Vaccine &amp; Infectious Disease Institute, University of Antwerp, Belgium""]"
